Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,0.11458303
FDW14,OUT017,0.08972204
NCN55,OUT010,0.007954948
FDQ58,OUT017,0.1652371
FDY38,OUT027,0.41052926
FDH56,OUT046,0.138855
FDL48,OUT018,0.04456972
FDC48,OUT027,0.12553504
FDN33,OUT045,0.10246914
FDA36,OUT017,0.20186035
FDT44,OUT017,0.13619202
FDQ56,OUT045,0.08293074
NCC54,OUT019,0.03506671
FDU11,OUT049,0.14181733
DRL59,OUT013,0.03935224
FDM24,OUT049,0.16401242
FDI57,OUT045,0.19980203
DRC12,OUT018,0.20894448
NCM42,OUT027,0.2155205
FDA46,OUT010,0.0
FDA31,OUT013,0.20935655
NCJ31,OUT035,0.30817288
FDG52,OUT046,0.060238577
NCL19,OUT019,0.013878239
FDS10,OUT035,0.22720826
FDX22,OUT010,0.0
NCF19,OUT035,0.058980145
NCE06,OUT046,0.18690555
DRC27,OUT046,0.2533755
FDE21,OUT035,0.14157242
NCR42,OUT019,0.013878239
FDX51,OUT018,0.21824686
NCR06,OUT018,0.03074081
FDU31,OUT027,0.3876628
FDU59,OUT017,0.1886344
FDR03,OUT027,0.37287283
FDS49,OUT027,0.16462533
FDD48,OUT010,0.0
NCF18,OUT017,0.23050582
NCD43,OUT027,0.19221899
NCD54,OUT018,0.1406561
FDY19,OUT010,0.015389314
NCY54,OUT017,0.19084117
NCL19,OUT018,0.1540563
FDP23,OUT010,0.0
FDC26,OUT013,0.100234754
FDR14,OUT010,0.013878239
NCS41,OUT035,0.22912815
FDF41,OUT035,0.31975105
FDU34,OUT046,0.135297
DRH11,OUT046,0.079210155
FDM03,OUT013,0.08944392
FDS31,OUT017,0.21954638
FDJ20,OUT017,0.13383642
FDV44,OUT027,0.33910432
FDG02,OUT049,0.23424105
FDA09,OUT013,0.21799932
FDT04,OUT013,0.02705932
FDL58,OUT019,0.05939167
FDE52,OUT045,0.09346131
FDW12,OUT035,0.1754629
FDL51,OUT017,0.25453052
NCY42,OUT027,0.2751931
FDR07,OUT017,0.10576138
FDN40,OUT045,0.15746422
FDB35,OUT027,0.16681457
FDA22,OUT017,0.19308956
NCL06,OUT046,0.27412784
FDI35,OUT013,0.21688728
NCW42,OUT045,0.24639799
NCX06,OUT049,0.21053025
FDC37,OUT027,0.21153605
FDZ14,OUT018,0.11147217
DRG49,OUT049,0.28613326
NCG06,OUT045,0.2816242
DRC36,OUT045,0.20521139
FDV21,OUT019,0.013878239
FDB53,OUT046,0.16551778
DRP47,OUT019,0.033090003
FDA14,OUT013,0.15816851
DRC24,OUT035,0.19158661
FDW21,OUT018,0.07899768
NCH29,OUT046,0.12832735
FDU58,OUT013,0.22066863
FDY27,OUT017,0.18379214
FDV56,OUT035,0.12995172
FDT59,OUT046,0.27470723
FDB23,OUT046,0.2890567
FDR49,OUT045,0.055059843
FDB03,OUT010,0.07644784
FDN39,OUT045,0.19088882
FDX02,OUT027,0.41855386
FDQ16,OUT027,0.21103533
FDU35,OUT018,0.09232548
NCT29,OUT013,0.12500528
FDZ27,OUT046,0.056840383
FDN57,OUT017,0.16635579
FDA03,OUT018,0.14814071
FDZ36,OUT045,0.20841259
NCU05,OUT013,0.06689651
FDT39,OUT018,0.15331756
FDK60,OUT017,0.09997458
FDZ25,OUT017,0.20338231
FDG12,OUT046,0.15694329
DRB01,OUT019,0.017394252
NCC43,OUT027,0.4567774
FDX13,OUT019,0.044940993
FDM22,OUT049,0.0419425
FDJ03,OUT027,0.11722423
FDU14,OUT018,0.2296748
FDB33,OUT010,0.0
FDP27,OUT046,0.20805883
FDO38,OUT010,0.013878239
FDE28,OUT027,0.38277426
FDO27,OUT035,0.09212949
DRL23,OUT027,0.21565449
FDS28,OUT046,0.05840881
FDX24,OUT013,0.083464004
FDZ02,OUT035,0.110344164
FDL46,OUT045,0.13605066
FDS60,OUT027,0.33566928
NCO06,OUT017,0.031599056
FDO16,OUT035,0.09808427
FDC60,OUT049,0.088929415
FDA48,OUT018,0.23230043
FDZ36,OUT027,0.33457768
FDK27,OUT045,0.123238236
FDW23,OUT018,0.031587206
FDM14,OUT018,0.10134982
FDM14,OUT013,0.115935564
FDW60,OUT018,0.18952739
FDE21,OUT013,0.11900427
NCM42,OUT035,0.11924245
FDY59,OUT010,0.0
DRI49,OUT049,0.09269145
FDT28,OUT019,0.013878239
FDQ22,OUT018,0.034838278
FDR60,OUT049,0.088678524
FDC50,OUT019,0.013878239
FDV24,OUT013,0.16988128
DRF48,OUT010,0.037916094
FDQ47,OUT046,0.038661927
DRN36,OUT049,0.11025167
NCY06,OUT035,0.15378962
FDE52,OUT035,0.10206426
NCB54,OUT045,0.1357014
NCF31,OUT035,0.17856039
FDJ08,OUT027,0.35776103
NCC07,OUT017,0.11899018
NCD19,OUT027,0.0652635
FDL46,OUT049,0.13080779
FDM20,OUT045,0.27920035
NCI06,OUT010,0.0
DRM11,OUT035,0.3370726
NCH07,OUT018,0.16192283
FDS23,OUT013,0.117586866
FDO49,OUT018,0.0435009
FDS35,OUT049,0.0724991
DRK39,OUT045,0.071826324
DRI39,OUT049,0.06062738
FDV04,OUT017,0.18070461
NCN14,OUT035,0.22831711
FDH08,OUT013,0.30728513
FDS20,OUT046,0.2037092
FDV40,OUT049,0.083494365
FDZ48,OUT010,0.0152441235
FDS24,OUT027,0.17327859
FDK44,OUT049,0.21006541
FDS48,OUT045,0.17414056
FDK26,OUT010,0.0
FDD23,OUT045,0.21485476
NCH54,OUT017,0.18180825
NCP14,OUT010,0.0
FDM60,OUT010,0.013878239
FDV24,OUT017,0.16264482
FDH08,OUT018,0.24915664
FDS12,OUT027,0.23765512
FDR39,OUT027,0.344581
FDP12,OUT027,0.09230697
DRF60,OUT027,0.4358782
FDC09,OUT035,0.11951148
FDF50,OUT018,0.21940954
FDG28,OUT035,0.32134104
NCE19,OUT017,0.06552825
NCM53,OUT010,0.015031876
NCN18,OUT049,0.12540689
FDF32,OUT035,0.24610344
FDF11,OUT013,0.3021267
DRI59,OUT049,0.30062658
NCG54,OUT035,0.20507284
FDM44,OUT046,0.112632826
FDT57,OUT018,0.25170788
FDV24,OUT046,0.17655246
FDI50,OUT019,0.04995419
FDS09,OUT035,0.050166145
NCC31,OUT027,0.2973252
FDQ07,OUT019,0.03854695
FDC22,OUT017,0.21796863
FDZ56,OUT046,0.17563586
FDZ40,OUT019,0.013878239
FDS46,OUT027,0.22439364
DRD24,OUT045,0.15246403
FDV45,OUT017,0.22783531
FDL26,OUT045,0.18244968
FDA56,OUT018,0.11609675
FDN27,OUT046,0.114920445
FDM20,OUT049,0.3113061
FDO16,OUT017,0.09128236
FDL03,OUT035,0.24211141
FDE58,OUT046,0.12787242
FDI02,OUT027,0.19807376
NCC55,OUT019,0.013878239
FDR03,OUT018,0.23610799
FDB14,OUT017,0.075381696
FDR45,OUT013,0.30491614
NCN07,OUT017,0.14442728
FDM51,OUT019,0.013878239
FDT52,OUT027,0.4152145
FDL26,OUT046,0.18279305
NCZ42,OUT046,0.24641062
DRI47,OUT019,0.013878239
FDW40,OUT013,0.1484514
FDN34,OUT046,0.21014558
FDS01,OUT035,0.22675072
NCG55,OUT045,0.13006832
FDC11,OUT035,0.08205302
FDX35,OUT018,0.25219724
NCB06,OUT046,0.18381909
FDR09,OUT019,0.04443192
FDC53,OUT017,0.10859036
FDY45,OUT013,0.29893717
FDA22,OUT010,0.0
FDE02,OUT035,0.11633419
FDW21,OUT045,0.10396436
